mapres10,papres10,paeduc,maeduc,educ,degree,born,reg16,incom16,father_factor,mother_factor,high_school
53,60,16,16,19,graduate,no,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,1
46,72,19,12,16,bachelor's,no,pacific,average,Above and Equal to Median,Above and Equal to Median,1
31,48,15,16,17,graduate,no,pacific,below average,Above and Equal to Median,Lower than Median,1
54,72,16,16,16,bachelor's,yes,middle atlantic,far above average,Above and Equal to Median,Above and Equal to Median,1
24,38,14,12,16,bachelor's,yes,middle atlantic,above average,Lower than Median,Lower than Median,1
39,39,13,14,17,graduate,yes,mountain,below average,Lower than Median,Above and Equal to Median,1
31,25,8,8,16,graduate,yes,middle atlantic,average,Lower than Median,Lower than Median,1
53,80,16,16,16,bachelor's,yes,pacific,far above average,Above and Equal to Median,Above and Equal to Median,1
70,71,16,12,16,bachelor's,no,pacific,above average,Above and Equal to Median,Above and Equal to Median,1
60,60,16,16,19,graduate,no,middle atlantic,below average,Above and Equal to Median,Above and Equal to Median,1
47,25,12,12,17,bachelor's,no,pacific,below average,Lower than Median,Above and Equal to Median,1
32,66,14,13,19,graduate,yes,middle atlantic,far below average,Above and Equal to Median,Lower than Median,1
35,24,12,7,7,less than high school,no,pacific,average,Lower than Median,Lower than Median,0
24,46,5,5,13,high school,yes,middle atlantic,below average,Above and Equal to Median,Lower than Median,0
38,42,5,6,12,high school,yes,middle atlantic,average,Lower than Median,Lower than Median,0
49,44,12,16,15,high school,no,pacific,average,Above and Equal to Median,Above and Equal to Median,0
61,60,16,16,12,less than high school,yes,middle atlantic,above average,Above and Equal to Median,Above and Equal to Median,0
32,35,16,14,14,high school,yes,middle atlantic,below average,Lower than Median,Lower than Median,0
35,26,12,12,14,associate/junior college,yes,middle atlantic,below average,Lower than Median,Lower than Median,1
56,63,16,20,16,associate/junior college,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,1
47,45,16,16,14,high school,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,0
33,48,0,12,14,high school,yes,middle atlantic,below average,Above and Equal to Median,Lower than Median,0
38,49,13,12,12,high school,yes,middle atlantic,average,Above and Equal to Median,Lower than Median,0
61,64,16,16,18,graduate,yes,west south central,average,Above and Equal to Median,Above and Equal to Median,1
64,72,19,12,18,graduate,yes,middle atlantic,far above average,Above and Equal to Median,Above and Equal to Median,1
45,38,14,12,14,associate/junior college,yes,middle atlantic,average,Lower than Median,Above and Equal to Median,1
35,49,8,12,13,associate/junior college,yes,middle atlantic,below average,Above and Equal to Median,Lower than Median,1
28,65,16,12,17,graduate,yes,middle atlantic,average,Above and Equal to Median,Lower than Median,1
47,60,14,14,14,high school,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,0
35,25,12,12,16,bachelor's,yes,middle atlantic,average,Lower than Median,Lower than Median,1
45,40,12,12,12,high school,yes,middle atlantic,average,Lower than Median,Above and Equal to Median,0
31,45,8,13,20,graduate,yes,middle atlantic,average,Above and Equal to Median,Lower than Median,1
56,60,16,16,16,bachelor's,yes,middle atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
32,35,12,14,16,high school,yes,middle atlantic,average,Lower than Median,Lower than Median,0
65,73,16,15,14,associate/junior college,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,1
54,70,19,14,16,bachelor's,yes,middle atlantic,below average,Above and Equal to Median,Above and Equal to Median,1
49,25,12,14,12,high school,yes,middle atlantic,far below average,Lower than Median,Above and Equal to Median,0
38,42,12,9,12,high school,yes,middle atlantic,below average,Lower than Median,Lower than Median,0
33,60,16,14,16,bachelor's,yes,middle atlantic,above average,Above and Equal to Median,Lower than Median,1
61,61,18,16,18,graduate,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,1
32,24,9,10,14,associate/junior college,yes,middle atlantic,below average,Lower than Median,Lower than Median,1
49,59,18,12,16,bachelor's,yes,middle atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
47,65,12,12,19,graduate,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,1
45,43,14,12,13,high school,yes,middle atlantic,average,Lower than Median,Above and Equal to Median,0
31,70,18,14,14,associate/junior college,yes,middle atlantic,below average,Above and Equal to Median,Lower than Median,1
48,53,16,16,16,bachelor's,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,1
24,35,12,12,12,high school,yes,middle atlantic,average,Lower than Median,Lower than Median,0
33,35,12,16,16,bachelor's,yes,middle atlantic,far below average,Lower than Median,Lower than Median,1
31,49,12,12,16,bachelor's,yes,middle atlantic,average,Above and Equal to Median,Lower than Median,1
47,44,16,12,12,high school,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,0
35,71,18,18,18,graduate,yes,middle atlantic,above average,Above and Equal to Median,Lower than Median,1
48,35,10,20,13,associate/junior college,yes,middle atlantic,above average,Lower than Median,Above and Equal to Median,1
35,35,9,12,11,high school,yes,middle atlantic,average,Lower than Median,Lower than Median,0
36,38,12,12,14,high school,yes,middle atlantic,average,Lower than Median,Lower than Median,0
61,36,6,16,17,bachelor's,yes,middle atlantic,average,Lower than Median,Above and Equal to Median,1
36,50,12,12,12,high school,yes,middle atlantic,average,Above and Equal to Median,Lower than Median,0
33,40,12,12,13,high school,yes,middle atlantic,average,Lower than Median,Lower than Median,0
48,44,16,11,16,graduate,yes,middle atlantic,below average,Above and Equal to Median,Above and Equal to Median,1
25,39,0,0,11,less than high school,yes,middle atlantic,below average,Lower than Median,Lower than Median,0
55,74,20,18,19,graduate,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,1
31,40,12,13,12,high school,yes,middle atlantic,average,Lower than Median,Lower than Median,0
32,45,12,8,10,high school,yes,middle atlantic,below average,Above and Equal to Median,Lower than Median,0
45,38,11,10,12,high school,yes,middle atlantic,above average,Lower than Median,Above and Equal to Median,0
33,40,8,12,12,high school,yes,middle atlantic,below average,Lower than Median,Lower than Median,0
37,31,6,8,12,high school,yes,middle atlantic,below average,Lower than Median,Lower than Median,0
37,46,7,12,15,associate/junior college,yes,middle atlantic,below average,Above and Equal to Median,Lower than Median,1
28,36,12,12,14,high school,yes,middle atlantic,below average,Lower than Median,Lower than Median,0
47,35,11,12,13,high school,yes,east north central,average,Lower than Median,Above and Equal to Median,0
21,48,15,12,14,high school,yes,middle atlantic,average,Above and Equal to Median,Lower than Median,0
47,43,12,12,16,bachelor's,yes,middle atlantic,average,Lower than Median,Above and Equal to Median,1
61,65,14,12,15,bachelor's,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,1
64,43,12,14,14,high school,yes,middle atlantic,below average,Lower than Median,Above and Equal to Median,0
31,34,12,12,16,bachelor's,yes,middle atlantic,average,Lower than Median,Lower than Median,1
35,26,12,12,16,graduate,yes,middle atlantic,average,Lower than Median,Lower than Median,1
31,46,12,14,12,high school,yes,middle atlantic,far below average,Above and Equal to Median,Lower than Median,0
32,35,12,12,12,high school,yes,middle atlantic,average,Lower than Median,Lower than Median,0
59,61,18,18,18,graduate,yes,middle atlantic,far above average,Above and Equal to Median,Above and Equal to Median,1
64,73,16,14,16,bachelor's,yes,middle atlantic,far below average,Above and Equal to Median,Above and Equal to Median,1
47,44,12,12,14,associate/junior college,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
31,44,11,10,12,high school,yes,middle atlantic,average,Above and Equal to Median,Lower than Median,0
39,24,16,6,12,high school,yes,middle atlantic,below average,Lower than Median,Above and Equal to Median,0
47,38,18,12,12,high school,yes,middle atlantic,average,Lower than Median,Above and Equal to Median,0
21,42,8,12,10,less than high school,yes,middle atlantic,below average,Lower than Median,Lower than Median,0
64,49,14,20,20,graduate,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,1
47,39,11,11,14,high school,yes,middle atlantic,average,Lower than Median,Above and Equal to Median,0
25,40,15,14,15,high school,yes,middle atlantic,average,Lower than Median,Lower than Median,0
48,44,12,12,14,high school,yes,middle atlantic,below average,Above and Equal to Median,Above and Equal to Median,0
28,36,12,12,20,graduate,yes,middle atlantic,below average,Lower than Median,Lower than Median,1
32,45,11,12,12,high school,yes,middle atlantic,below average,Above and Equal to Median,Lower than Median,0
32,44,12,12,19,graduate,yes,middle atlantic,average,Above and Equal to Median,Lower than Median,1
47,62,14,12,18,graduate,yes,middle atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
54,67,16,16,17,bachelor's,yes,pacific,above average,Above and Equal to Median,Above and Equal to Median,1
21,62,12,12,16,bachelor's,yes,middle atlantic,above average,Above and Equal to Median,Lower than Median,1
53,65,16,20,11,less than high school,yes,middle atlantic,above average,Above and Equal to Median,Above and Equal to Median,0
31,39,12,12,16,bachelor's,yes,middle atlantic,average,Lower than Median,Lower than Median,1
64,72,16,12,15,high school,yes,middle atlantic,above average,Above and Equal to Median,Above and Equal to Median,0
47,39,16,12,16,graduate,yes,middle atlantic,above average,Lower than Median,Above and Equal to Median,1
53,70,14,13,16,bachelor's,yes,south atlantic,far below average,Above and Equal to Median,Above and Equal to Median,1
61,53,17,18,20,graduate,yes,middle atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
51,53,16,16,16,graduate,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,1
24,35,12,12,16,bachelor's,yes,middle atlantic,average,Lower than Median,Lower than Median,1
32,33,12,12,16,bachelor's,no,middle atlantic,below average,Lower than Median,Lower than Median,1
31,39,12,12,16,high school,yes,middle atlantic,average,Lower than Median,Lower than Median,0
64,45,12,16,16,bachelor's,yes,west north central,far below average,Above and Equal to Median,Above and Equal to Median,1
31,42,8,8,16,graduate,yes,middle atlantic,above average,Lower than Median,Lower than Median,1
64,64,16,16,16,graduate,yes,west north central,above average,Above and Equal to Median,Above and Equal to Median,1
33,50,12,12,16,bachelor's,yes,middle atlantic,average,Above and Equal to Median,Lower than Median,1
18,43,16,12,16,bachelor's,yes,middle atlantic,below average,Lower than Median,Lower than Median,1
51,48,16,16,18,graduate,yes,middle atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
48,44,8,8,16,bachelor's,yes,middle atlantic,far below average,Above and Equal to Median,Above and Equal to Median,1
53,69,16,14,18,graduate,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
32,32,8,12,16,high school,yes,middle atlantic,average,Lower than Median,Lower than Median,0
31,48,16,16,20,graduate,yes,middle atlantic,above average,Above and Equal to Median,Lower than Median,1
61,60,12,14,18,graduate,yes,middle atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
35,31,16,12,14,bachelor's,yes,east north central,average,Lower than Median,Lower than Median,1
21,39,12,12,17,bachelor's,no,middle atlantic,below average,Lower than Median,Lower than Median,1
66,58,16,16,16,bachelor's,yes,middle atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
47,59,20,12,16,bachelor's,yes,east north central,far below average,Above and Equal to Median,Above and Equal to Median,1
31,35,8,9,14,high school,no,pacific,average,Lower than Median,Lower than Median,0
35,46,7,8,8,less than high school,no,pacific,average,Above and Equal to Median,Lower than Median,0
48,60,20,16,16,graduate,yes,middle atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
32,35,12,12,14,high school,no,mountain,average,Lower than Median,Lower than Median,0
32,24,12,12,12,high school,yes,south atlantic,far below average,Lower than Median,Lower than Median,0
32,45,14,12,19,graduate,no,pacific,far below average,Above and Equal to Median,Lower than Median,1
61,80,20,16,17,bachelor's,yes,mountain,average,Above and Equal to Median,Above and Equal to Median,1
61,59,18,18,20,graduate,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
35,39,12,0,14,high school,no,middle atlantic,average,Lower than Median,Lower than Median,0
60,75,17,18,18,bachelor's,yes,south atlantic,below average,Above and Equal to Median,Above and Equal to Median,1
32,31,6,12,16,bachelor's,yes,south atlantic,below average,Lower than Median,Lower than Median,1
64,69,12,12,12,high school,no,pacific,average,Above and Equal to Median,Above and Equal to Median,0
24,46,0,0,16,bachelor's,no,pacific,far below average,Above and Equal to Median,Lower than Median,1
41,37,12,10,19,graduate,yes,west north central,average,Lower than Median,Above and Equal to Median,1
61,65,12,12,16,bachelor's,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
46,53,16,13,18,graduate,yes,south atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
47,69,19,13,16,bachelor's,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
31,63,12,8,16,bachelor's,yes,south atlantic,far above average,Above and Equal to Median,Lower than Median,1
28,49,8,12,13,high school,yes,middle atlantic,average,Above and Equal to Median,Lower than Median,0
25,42,13,12,20,graduate,yes,middle atlantic,average,Lower than Median,Lower than Median,1
38,65,16,12,14,high school,yes,south atlantic,average,Above and Equal to Median,Lower than Median,0
64,58,19,16,20,graduate,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
40,45,18,14,14,associate/junior college,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
47,50,16,12,18,graduate,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
47,46,12,12,17,graduate,yes,south atlantic,below average,Above and Equal to Median,Above and Equal to Median,1
69,40,12,14,14,high school,yes,south atlantic,average,Lower than Median,Above and Equal to Median,0
54,72,15,19,12,high school,yes,new england,average,Above and Equal to Median,Above and Equal to Median,0
49,49,12,12,14,associate/junior college,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
32,62,12,12,12,high school,yes,south atlantic,below average,Above and Equal to Median,Lower than Median,0
32,35,4,12,12,high school,yes,south atlantic,below average,Lower than Median,Lower than Median,0
47,32,12,12,15,associate/junior college,yes,south atlantic,average,Lower than Median,Above and Equal to Median,1
64,44,13,18,16,bachelor's,yes,middle atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
46,43,12,12,14,high school,yes,middle atlantic,above average,Lower than Median,Above and Equal to Median,0
16,49,5,5,17,bachelor's,no,south atlantic,average,Above and Equal to Median,Lower than Median,1
24,28,12,14,13,high school,yes,south atlantic,far below average,Lower than Median,Lower than Median,0
31,64,16,12,13,high school,yes,south atlantic,average,Above and Equal to Median,Lower than Median,0
61,80,20,16,16,bachelor's,yes,west south central,above average,Above and Equal to Median,Above and Equal to Median,1
17,39,14,18,18,bachelor's,yes,pacific,above average,Lower than Median,Lower than Median,1
72,52,20,20,16,bachelor's,yes,south atlantic,far above average,Above and Equal to Median,Above and Equal to Median,1
31,49,12,12,18,graduate,yes,east south atlantic,below average,Above and Equal to Median,Lower than Median,1
61,62,12,16,16,bachelor's,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,1
55,62,16,16,16,graduate,yes,south atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
40,39,20,16,20,graduate,no,middle atlantic,average,Lower than Median,Above and Equal to Median,1
45,60,15,12,16,bachelor's,yes,south atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
47,50,12,12,18,graduate,yes,middle atlantic,below average,Above and Equal to Median,Above and Equal to Median,1
47,47,10,12,16,bachelor's,yes,south atlantic,below average,Above and Equal to Median,Above and Equal to Median,1
45,59,12,12,15,high school,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,0
35,44,12,12,18,graduate,yes,south atlantic,average,Above and Equal to Median,Lower than Median,1
62,50,12,12,14,high school,yes,south atlantic,above average,Above and Equal to Median,Above and Equal to Median,0
36,42,12,12,18,graduate,yes,middle atlantic,above average,Lower than Median,Lower than Median,1
37,53,13,14,16,graduate,yes,west north central,above average,Above and Equal to Median,Lower than Median,1
61,70,12,16,19,graduate,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
71,50,19,20,20,graduate,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,1
42,38,11,14,14,bachelor's,yes,south atlantic,above average,Lower than Median,Above and Equal to Median,1
26,35,11,10,16,bachelor's,yes,south atlantic,below average,Lower than Median,Lower than Median,1
31,41,19,14,14,high school,yes,middle atlantic,far below average,Lower than Median,Lower than Median,0
30,46,5,13,20,graduate,yes,west north central,above average,Above and Equal to Median,Lower than Median,1
31,35,10,8,12,high school,yes,south atlantic,average,Lower than Median,Lower than Median,0
53,45,18,16,16,bachelor's,yes,south atlantic,far above average,Above and Equal to Median,Above and Equal to Median,1
48,71,17,14,16,bachelor's,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
47,43,12,12,16,bachelor's,yes,south atlantic,above average,Lower than Median,Above and Equal to Median,1
48,44,12,12,11,high school,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,0
25,45,10,14,14,high school,yes,south atlantic,average,Above and Equal to Median,Lower than Median,0
60,75,18,16,16,bachelor's,yes,east north central,above average,Above and Equal to Median,Above and Equal to Median,1
35,62,12,12,12,high school,yes,south atlantic,far below average,Above and Equal to Median,Lower than Median,0
31,45,16,16,17,graduate,yes,east south atlantic,average,Above and Equal to Median,Lower than Median,1
64,72,16,14,20,graduate,yes,east north central,above average,Above and Equal to Median,Above and Equal to Median,1
47,35,7,12,12,high school,yes,south atlantic,average,Lower than Median,Above and Equal to Median,0
35,35,12,4,12,high school,yes,south atlantic,far below average,Lower than Median,Lower than Median,0
27,39,8,12,14,associate/junior college,yes,south atlantic,below average,Lower than Median,Lower than Median,1
46,25,9,13,20,bachelor's,yes,new england,below average,Lower than Median,Above and Equal to Median,1
32,35,5,7,12,high school,yes,south atlantic,far below average,Lower than Median,Lower than Median,0
35,32,8,12,12,high school,yes,south atlantic,average,Lower than Median,Lower than Median,0
36,44,8,12,12,high school,yes,south atlantic,below average,Above and Equal to Median,Lower than Median,0
61,41,7,14,13,high school,yes,south atlantic,below average,Lower than Median,Above and Equal to Median,0
33,50,18,16,15,high school,no,south atlantic,below average,Above and Equal to Median,Lower than Median,0
35,35,7,12,14,associate/junior college,yes,south atlantic,average,Lower than Median,Lower than Median,1
25,28,4,12,13,high school,yes,south atlantic,below average,Lower than Median,Lower than Median,0
32,39,10,11,12,high school,yes,south atlantic,average,Lower than Median,Lower than Median,0
35,53,16,12,16,bachelor's,yes,south atlantic,average,Above and Equal to Median,Lower than Median,1
47,35,12,12,14,graduate,yes,south atlantic,average,Lower than Median,Above and Equal to Median,1
69,38,12,6,15,high school,yes,middle atlantic,average,Lower than Median,Above and Equal to Median,0
21,44,12,13,12,high school,yes,south atlantic,far below average,Above and Equal to Median,Lower than Median,0
47,45,3,12,13,high school,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,0
42,49,5,12,12,high school,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,0
38,46,16,12,10,less than high school,yes,south atlantic,above average,Above and Equal to Median,Lower than Median,0
64,53,16,15,19,graduate,yes,pacific,average,Above and Equal to Median,Above and Equal to Median,1
38,61,16,14,18,bachelor's,no,pacific,below average,Above and Equal to Median,Lower than Median,1
47,62,12,14,12,high school,yes,south atlantic,below average,Above and Equal to Median,Above and Equal to Median,0
35,28,9,12,15,associate/junior college,yes,south atlantic,below average,Lower than Median,Lower than Median,1
47,40,12,12,16,graduate,yes,south atlantic,average,Lower than Median,Above and Equal to Median,1
35,32,5,5,13,less than high school,no,south atlantic,far below average,Lower than Median,Lower than Median,0
47,62,16,12,16,bachelor's,yes,south atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
31,49,12,12,12,high school,no,pacific,average,Above and Equal to Median,Lower than Median,0
48,46,5,5,15,associate/junior college,yes,south atlantic,below average,Above and Equal to Median,Above and Equal to Median,1
21,31,0,0,13,high school,yes,south atlantic,far below average,Lower than Median,Lower than Median,0
51,42,20,18,17,graduate,yes,south atlantic,above average,Lower than Median,Above and Equal to Median,1
74,45,12,16,20,graduate,no,pacific,below average,Above and Equal to Median,Above and Equal to Median,1
66,45,12,16,15,high school,yes,south atlantic,far below average,Above and Equal to Median,Above and Equal to Median,0
61,59,16,16,16,bachelor's,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
25,46,12,10,12,high school,yes,south atlantic,average,Above and Equal to Median,Lower than Median,0
47,62,12,12,20,graduate,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,1
31,48,16,12,18,graduate,no,new england,far below average,Above and Equal to Median,Lower than Median,1
32,48,0,12,17,bachelor's,yes,east north central,below average,Above and Equal to Median,Lower than Median,1
32,24,12,16,19,graduate,yes,middle atlantic,below average,Lower than Median,Lower than Median,1
47,28,13,10,20,graduate,yes,middle atlantic,average,Lower than Median,Above and Equal to Median,1
61,45,14,15,17,graduate,yes,west south central,average,Above and Equal to Median,Above and Equal to Median,1
25,34,15,12,14,high school,yes,south atlantic,far below average,Lower than Median,Lower than Median,0
53,72,17,14,20,graduate,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
46,73,16,12,16,graduate,no,east south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
69,35,8,14,14,high school,yes,south atlantic,below average,Lower than Median,Above and Equal to Median,0
40,25,12,12,13,high school,yes,south atlantic,average,Lower than Median,Above and Equal to Median,0
64,38,12,16,16,bachelor's,yes,south atlantic,below average,Lower than Median,Above and Equal to Median,1
48,38,10,12,13,high school,yes,south atlantic,average,Lower than Median,Above and Equal to Median,0
34,66,13,12,16,bachelor's,yes,south atlantic,far below average,Above and Equal to Median,Lower than Median,1
51,70,16,12,16,graduate,yes,middle atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
32,38,12,12,16,high school,yes,south atlantic,far below average,Lower than Median,Lower than Median,0
53,61,12,12,18,graduate,yes,new england,far below average,Above and Equal to Median,Above and Equal to Median,1
31,32,12,14,16,bachelor's,yes,south atlantic,far below average,Lower than Median,Lower than Median,1
45,45,12,12,16,bachelor's,yes,middle atlantic,below average,Above and Equal to Median,Above and Equal to Median,1
39,45,18,16,19,graduate,yes,south atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
35,42,6,12,20,bachelor's,yes,south atlantic,average,Lower than Median,Lower than Median,1
55,64,16,18,20,graduate,yes,south atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
35,39,12,14,18,graduate,yes,east north central,below average,Lower than Median,Lower than Median,1
61,39,16,16,16,graduate,yes,south atlantic,above average,Lower than Median,Above and Equal to Median,1
35,45,10,11,16,graduate,yes,east north central,above average,Above and Equal to Median,Lower than Median,1
64,80,16,14,16,graduate,yes,south atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
32,35,8,8,16,graduate,no,middle atlantic,far below average,Lower than Median,Lower than Median,1
39,49,12,12,13,high school,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,0
47,60,12,12,18,graduate,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
48,49,14,14,18,bachelor's,yes,south atlantic,below average,Above and Equal to Median,Above and Equal to Median,1
48,65,18,12,17,bachelor's,yes,new england,average,Above and Equal to Median,Above and Equal to Median,1
47,34,14,13,18,graduate,yes,middle atlantic,average,Lower than Median,Above and Equal to Median,1
31,38,9,11,15,associate/junior college,yes,south atlantic,far below average,Lower than Median,Lower than Median,1
64,39,14,16,16,bachelor's,yes,south atlantic,above average,Lower than Median,Above and Equal to Median,1
35,38,12,12,14,associate/junior college,yes,south atlantic,average,Lower than Median,Lower than Median,1
62,75,16,14,12,high school,yes,mountain,above average,Above and Equal to Median,Above and Equal to Median,0
45,47,16,14,16,bachelor's,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
47,62,16,16,17,high school,yes,west south central,far below average,Above and Equal to Median,Above and Equal to Median,0
25,28,12,0,12,high school,yes,south atlantic,average,Lower than Median,Lower than Median,0
49,31,16,12,12,high school,yes,south atlantic,average,Lower than Median,Above and Equal to Median,0
27,46,12,8,18,associate/junior college,yes,south atlantic,far below average,Above and Equal to Median,Lower than Median,1
36,62,16,16,16,graduate,yes,south atlantic,below average,Above and Equal to Median,Lower than Median,1
20,36,12,11,12,high school,yes,south atlantic,average,Lower than Median,Lower than Median,0
32,35,14,16,17,associate/junior college,yes,south atlantic,above average,Lower than Median,Lower than Median,1
39,38,12,14,14,high school,yes,south atlantic,above average,Lower than Median,Above and Equal to Median,0
31,53,10,12,17,graduate,yes,south atlantic,far below average,Above and Equal to Median,Lower than Median,1
44,70,16,14,17,bachelor's,yes,south atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
25,35,12,12,14,associate/junior college,yes,south atlantic,average,Lower than Median,Lower than Median,1
45,35,12,16,14,high school,yes,south atlantic,average,Lower than Median,Above and Equal to Median,0
24,49,12,12,14,high school,yes,middle atlantic,below average,Above and Equal to Median,Lower than Median,0
74,44,12,12,12,high school,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,0
25,28,10,12,16,bachelor's,yes,south atlantic,average,Lower than Median,Lower than Median,1
46,64,15,12,15,associate/junior college,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
47,39,12,16,14,high school,yes,south atlantic,above average,Lower than Median,Above and Equal to Median,0
61,60,16,16,16,bachelor's,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,1
32,28,12,12,16,high school,yes,pacific,average,Lower than Median,Lower than Median,0
32,30,12,12,18,graduate,no,middle atlantic,below average,Lower than Median,Lower than Median,1
31,74,20,13,16,graduate,yes,middle atlantic,average,Above and Equal to Median,Lower than Median,1
64,60,11,14,12,high school,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,0
46,39,16,16,18,graduate,yes,south atlantic,far above average,Lower than Median,Above and Equal to Median,1
32,69,12,12,12,high school,yes,south atlantic,average,Above and Equal to Median,Lower than Median,0
49,72,12,16,17,bachelor's,yes,south atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
16,27,6,12,20,graduate,yes,south atlantic,average,Lower than Median,Lower than Median,1
38,62,17,12,17,bachelor's,no,pacific,below average,Above and Equal to Median,Lower than Median,1
31,38,13,12,12,high school,yes,east south atlantic,above average,Lower than Median,Lower than Median,0
38,31,12,12,13,high school,yes,south atlantic,average,Lower than Median,Lower than Median,0
46,35,12,12,15,high school,yes,south atlantic,average,Lower than Median,Above and Equal to Median,0
25,33,8,8,20,graduate,yes,west south central,above average,Lower than Median,Lower than Median,1
64,62,14,14,16,bachelor's,yes,east south atlantic,below average,Above and Equal to Median,Above and Equal to Median,1
28,50,16,12,19,bachelor's,yes,west north central,average,Above and Equal to Median,Lower than Median,1
35,35,18,18,12,high school,no,south atlantic,below average,Lower than Median,Lower than Median,0
45,35,16,12,19,graduate,yes,pacific,above average,Lower than Median,Above and Equal to Median,1
28,46,6,8,12,high school,yes,south atlantic,below average,Above and Equal to Median,Lower than Median,0
27,62,20,16,17,graduate,yes,south atlantic,average,Above and Equal to Median,Lower than Median,1
35,49,10,10,12,high school,yes,south atlantic,above average,Above and Equal to Median,Lower than Median,0
37,40,12,12,12,high school,yes,south atlantic,below average,Lower than Median,Lower than Median,0
48,49,12,10,14,associate/junior college,no,middle atlantic,below average,Above and Equal to Median,Above and Equal to Median,1
31,35,8,12,17,bachelor's,yes,south atlantic,above average,Lower than Median,Lower than Median,1
35,60,15,13,16,bachelor's,yes,south atlantic,below average,Above and Equal to Median,Lower than Median,1
47,24,7,13,16,bachelor's,yes,south atlantic,below average,Lower than Median,Above and Equal to Median,1
36,60,16,12,16,bachelor's,yes,west north central,far below average,Above and Equal to Median,Lower than Median,1
25,44,9,12,13,high school,yes,south atlantic,average,Above and Equal to Median,Lower than Median,0
48,42,14,16,12,high school,yes,middle atlantic,far below average,Lower than Median,Above and Equal to Median,0
36,35,12,12,16,bachelor's,yes,pacific,average,Lower than Median,Lower than Median,1
53,44,18,12,16,bachelor's,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,1
47,35,13,13,16,bachelor's,yes,south atlantic,average,Lower than Median,Above and Equal to Median,1
39,46,10,12,17,graduate,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,1
60,39,14,16,16,bachelor's,yes,new england,average,Lower than Median,Above and Equal to Median,1
